Species,Code,Dataset,BIOME,,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Gs,log Parea,log Amass,log Aarea
Vaccinium reticulatum,41,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,,S,E,,C3,N,0,2.228633029,-0.050609993,0.178023036,0,-1.771366971,0,0
Carex kauaiensis,42,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,,G,,,C3,N,0,2.175093529,-0.013228266,0.161865263,0,-1.125936467,0,0
Dodonaea viscosa,43,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,,S,E,B,C3,N,0,2.161339774,0.146128036,0.30746781,0,-0.69253219,0,0
Dubautia scabra,44,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,,S,E,,C3,N,0,1.824720182,-0.091514981,-0.2667948,0,-1.698158564,0,0
Meterosideros polymorpha pb,45,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,,T,,,C3,N,0,2.289797985,-0.065501549,0.224296437,2.615950052,-1.108142023,1.691975333,0.981773319
Nephrolepsis sp,46,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,,F,,,C3,N,0,2.188894393,0.037426498,0.226320891,1.838849091,-0.697162255,0.973072223,0.161966616
Dicranopteris linearis,47,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,F,,,C3,N,0,1.923541612,0.037426498,-0.03903189,0,-1.474398396,0,0
Heteropogon contortus,48,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,G,,B,C4,N,0,1.655293419,0.071882007,-0.272824574,0,-1.303313896,0,0
Meterosideros polymorpha gl,49,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,T,,,C3,N,0,2.151810883,-0.065501549,0.086309334,0,-1.149219113,0,0
Meterosideros polymorpha pb,50,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,T,,,C3,N,0,2.248028425,-0.060480747,0.187547678,2.509202522,-0.973820324,1.793008783,1.041037208
Myrsine sandwicensis,51,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,S,E,,C3,N,0,1.663220167,0.021189299,-0.315590534,0,-1.637809829,0,0
Nephrolepsis sp,52,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,F,,,C3,N,0,1.679832935,0.045322979,-0.274844086,0,-1.27877438,0,0
Pipturus albidus,53,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,T,,,C3,N,0,1.791612396,0.204119983,-0.004267621,2.414973348,-1.305297617,2.356280249,1.147892645
Psychotria sp,54,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,,S,E,,C3,N,0,1.846002313,0.117271296,-0.036726391,1.812913357,-1.2509077,1.445588512,0.291590826
Brussaisia arguta,57,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,S,E,,C3,N,0,1.862994224,0.127104798,-0.009900978,2.281033367,-1.137005776,1.656571277,0.519565501
Cibotium glaucum,58,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,F,,,C3,N,0,1.778585762,0.220108088,-0.00130615,0,-1.180021553,0,0
Clermontia montes-loa,59,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,S,E,,C3,N,0,1.509002706,0.45484486,-0.036152434,2.328379603,-1.377053942,1.673126508,0.182129214
Freycinetia arborea,60,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,H,,,C3,N,0,1.784785571,0.281033367,0.065818938,0,-1.215214429,1.58794237,0.372727941
Ilex anomala,61,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,T,,,C3,N,0,1.982799656,0.093421685,0.076221342,0,-1.415140352,0,0
Meterosideros polymorpha gl,62,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,T,,,C3,N,0,2.038626372,0.045322979,0.083949351,2.505149978,-1.116275588,1.477247471,0.515873844
Meterosideros polymorpha pb,63,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,T,,,C3,N,0,2.308034897,-0.113509275,0.194525622,2.496929648,-1.390935107,1.274028466,0.582063363
Peperomia sp,64,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,,H,,,C3,N,0,1.571039535,0.338456494,-0.090503971,0,-1.349779219,0,0
Comprosma ernodeoides,65,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,,S,E,,C3,N,0,1.905039998,-0.004364805,-0.099324808,0,-1.316808752,0,0
Comprosma ochracea,66,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,,S,E,,C3,N,0,1.601209607,0.243038049,-0.155752344,2.301029996,-1.553692353,1.509380103,0.11058971
Dicranopteris linearis,67,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,,F,,,C3,N,0,2.041866324,-0.017728767,0.024137557,0,-1.259163671,0,0
Hedyotis centranthoides,68,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,,S,E,,C3,N,0,2.090925599,0.103803721,0.19472932,2.480006943,-1.30701441,1.480783233,0.571708832
Machaerina mariscoides,69,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,,G,,,C3,N,0,2.350470434,-0.161150909,0.189319525,0,-1.34849957,0,0
Meterosideros polymorpha gl,70,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,,T,,,C3,N,0,2.197294673,-0.107905397,0.089389276,2.477121255,-1.200645336,1.458803529,0.656098202
Meterosideros polymorpha pb,71,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,,T,,,C3,N,0,2.560036064,-0.229147988,0.330888076,2.267171728,-1.13893394,1.267171728,0.7930916
Betula papyrifera,72,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,1.995635629,0.402312979,0.397940009,0,0,2.290034611,1.285557309
Prunus serotina,73,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,1.748191501,0.427907864,0.176091259,0,0,2.51851394,1.267171728
Fraxinus americana,74,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,1.963770456,0.358448839,0.322219295,0,0,2,0.963787827
Quercus rubra,75,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,2.041388342,0.405773101,0.447158031,0,0,2.330413773,1.371067862
Quercus alba,76,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,2.004364805,0.527114112,0.531478917,0,0,2.357934847,1.361727836
Castanea dentata,77,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,,B,C3,N,0,1.763437548,0.412662107,0.176091259,0,0,2.336459734,1.100370545
Ulmus americana,78,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,1.812902499,0.30105171,0.113943352,0,0,2.29666519,1.11058971
Acer rubrum,79,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,2.021180613,0.234086825,0.255272505,0,0,2.089905111,1.11058971
Acer saccharum,80,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,2.008596697,0.221857435,0.230448921,0,0,1.832508913,0.838849091
Acer pensylvanicum,81,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,,T,D,B,C3,N,0,1.77085592,0.40524388,0.176091259,0,0,2.225309282,0.995635195
Acalypha skutchii,85,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.413466788,0.412124406,-0.174408805,0,-1.258765722,0,0
Aegiphila costaricensis,86,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,D,,,N,0,1.634381091,0.190891717,-0.174727192,0,-1.039180632,0,0
Allophylus camptostachys,89,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,2.031650769,0.052693942,0.084344711,0,-0.860461206,0,0
Amphitecna tuxtlensis,92,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.931777714,0.154119526,0.08589724,0,-1.022117499,0,0
Astrocaryum mexicanum,99,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.873643178,0.222456337,0.096099515,0,-0.924686642,0,0
Bactris trichophylla,100,Bongers_et_al_Los_Tuxtlas,TROP_RF,,S,E,,,N,0,1.738842077,0.186956335,-0.074201587,0,-1.229749459,0,0
Brosimum alicastrum,102,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,D,,,N,0,1.80314648,0.3287872,0.13193368,0,-1.081909105,0,0
Bursera simaruba,104,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,D,B,C3,N,0,1.929045006,0.179551791,0.108596797,0,-1.068357013,0,0
Capparis baducca,109,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.748609489,0.213252052,-0.038138459,0,-1.250089578,0,0
Casearia sylvestris,113,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.79816747,0,0,0,-1.275747443,0,0
Cecropia obtusifolia,115,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.894161758,0.343999069,0.238160827,0,-1.020235527,0,0
Chamaedorea alternans,120,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.62049897,0.080265627,-0.299235402,0,-1.229512573,0,0
Chamaedorea pinnatifrons,124,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.612025042,0.24674471,-0.141230249,0,-1.072109528,0,0
Clarisia biflora,133,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,2.031936258,0.322219295,0.354155553,0,-0.912303278,0,0
Coccoloba hondurensis,140,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,2.015904879,0,0,0,-1.015612172,0,0
Cordia megalantha,146,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,D,,,N,0,1.933536741,0.329397879,0.262934621,0,-0.930218457,0,0
Croton schiedeanus,155,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.8177173,0.282168778,0.099886079,0,-0.99617432,0,0
Cupania dentata,156,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,2.06072256,0.176669933,0.237392492,0,-0.955200406,0,0
Cymbopetalum baillonii,158,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,2.042856849,0.119255889,0.162112739,0,-0.634923856,0,0
Cynometra retusa,159,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,Y,0,2.105740977,0.071882007,0.177622985,0,-0.920669399,0,0
Dendropanax arboreus,165,Bongers_et_al_Los_Tuxtlas,TROP_RF,,T,E,,,N,0,1.97130343,-0.04769199,-0.07638856,0,-0.887246797,0,0
